Espécie;Amostra;Local;Data;Clorofila;espessura.foliar;massa.turgida.foliar;area.foliar;massa.para.furar.g.;massa.seca.foliar;volume.ramo;peso.seco.ramo;comprimento.ramo;densidade.vasos;
Croton macrobothrys;2;Serra da Leoa;12/09/2016;57,82;0,146;0,592;35,9872;102,21;0,2;2,88;0,77;5,3;NA;0,267361111
Cryptocarya aschersoniana;2;FURB;02/05/2016;55,04;0,184;0,8734;35,9566;438,11;0,342;1,1;0,68;5;NA;0,618181818
Cryptocarya aschersoniana;4;PMSF;29/06/2016;62,32;0,172;1,066;NA;338,89;0,456;1,85;0,85;5;NA;0,459459459
Cryptocarya aschersoniana;3;PMSF;06/06/2016;59,08;0,144;0,852;42,4106;427,07;0,294;1,61;0,61;5,4;12,59170289;0,378881988
Cryptocarya aschersoniana;5;Ipiranga;08/08/2016;61,58;0,17;0,93;43,5212;231,98;0,384;1,34;0,44;4,9;3,700839616;0,328358209
Cryptocarya aschersoniana;1;FURB;02/05/2016;57,78;0,196;0,574;23,7756;374,2;0,276;1,38;0,276;5,3;9,15251647;0,2
Cryptocarya mandioccana;1;Massaranduba;26/07/2016;64,16;0,194;1,202;58,738;251,92;0,462;2,83;1,4;5,5;4,942501674;0,494699647
Cryptocarya mandioccana;3;Massaranduba;26/07/2016;56,5;0,168;0,974;47,3622;396,01;0,432;2,48;1,18;5;6,710678814;0,475806452
Cryptocarya mandioccana;5;Massaranduba;26/07/2016;66,22;0,196;0,858;39,6296;378,95;0,354;2,82;1,34;5,1;2,875870877;0,475177305
Cryptocarya mandioccana;4;Massaranduba;26/07/2016;60,22;0,168;0,994;55,0404;214,91;0,384;3,23;1,46;4,3;5,132595278;0,452012384
Cryptocarya mandioccana;2;Braço Paula Ramos;09/06/2016;58,28;0,214;0,748;36,1195;368,66;0,236;0,8;0,35;5,7;33,73270288;0,4375
Cupania vernalis;3;FURB;27/05/2016;51,64;0,154;0,474;22,958;300,8;0,234;2,78;1,68;4,8;5,346339305;0,604316547
Cupania vernalis;4;FURB;25/04/2016;61,46;0,146;0,566;40,9654;193,19;0,218;2,05;1,18;5,4;NA;0,575609756
Cupania vernalis;5;FURB;02/05/2016;58,44;0,124;0,782;42,0136;287,31;0,266;5,54;2,78;5,7;NA;0,501805054
Cupania vernalis;1;PMSF;04/06/2016;57,6;0,23;0,47;31,4286;305,47;0,188;3,12;1,55;5,5;5,440831783;0,496794872
Cupania vernalis;2;FURB;25/04/2016;58,32;0,146;0,73;53,5164;210,2;0,278;2,61;1,25;4,6;6,307714472;0,478927203
Cyathea corcovadensis;4;PMFS;23/05/2016;69,74;0,18;0,386;18,5222;250,14;0,12;3,83;0,76;5,3;NA;0,19843342
Cyathea corcovadensis;2;PMFS;23/05/2016;59,1;0,148;0,542;26,8758;276,97;0,15;4,47;0,86;5,5;NA;0,192393736
Cyathea corcovadensis;1;PMFS;06/04/2016;62,7;0,23;0,27;12,704;213,37;0,094;7,64;1,37;8,9;NA;0,179319372
Cyathea corcovadensis;5;PMFS;23/05/2016;61,04;0,152;0,628;29,5622;254,77;0,142;3,33;0,57;4,6;NA;0,171171171
Cyathea corcovadensis;3;PMFS;23/05/2016;58,26;0,132;0,43;24,3284;272,69;0,114;2,73;0,43;4,8;NA;0,157509158
Cyathea delgadii;4;Ipiranga;08/08/2016;NA;0,074;0,26;15,3836;15,26;0,144;4,54;0,98;4,6;NA;0,215859031
Cyathea delgadii;5;Ipiranga;08/08/2016;50,85;0,096;0,216;13,0142;15,26;0,068;4,07;0,75;4,8;NA;0,184275184
Cyathea delgadii;2;PMSF;23/05/2016;42,06;0,076;0,166;12,9252;114,27;0,048;7,14;1,2;5;NA;0,168067227
Cyathea delgadii;1;FURB;25/04/2016;48,52;0,009;0,126;10,305;NA;0,038;8,87;1,45;5,5;NA;0,163472379
Cyathea delgadii;3;PMSF;23/05/2016;18,64;0,066;0,122;11,2644;159,05;0,032;4,4;0,58;5,5;NA;0,131818182
Cyathea gardneri;4;Serra da Leoa;12/09/2016;82,8;0,102;0,36;16,089;38,54;0,11;4,28;0,79;5;NA;0,184579439
