"";"Nome";"Amostra";"Localidade";"Data";"Clorofila";"Espessura";"Massa.Foliar.Turgida";"Area.Foliar";"Massa.Para.Furar";"Massa.Foliar.seca";"Volume.Ramo";"Massa.Seca.Ramo";"Comprimento.Ramo";"Densidade.Vasos"
"200";"Byrsonima ligustrifolia";2;"Massaranduba";2016-07-26;58,18;0,278;0,932;33,6228;447,24;0,388;3;1,51;5,4;3,591230804
"201";"Cryptocarya aschersoniana";5;"Ipiranga";2016-08-08;61,58;0,17;0,93;43,5212;231,98;0,384;1,34;0,44;4,9;3,700839616
"202";"Euterpe edulis";5;"PMSF";2016-06-29;59,94;0,09;0,92;73,7684;186,22;0,39;4,58;0,67;5,1;NA
"203";"Coussarea contracta";5;"Praia Vermelha";2017-02-09;NA;0,278;0,92;29,3608;322,98;0,204;1,31;0,52;5,2;NA
"204";"Schefflera angustissima";5;"Morro do Baú";2016-12-12;NA;0,32;0,916;17,94375;413,28;0,268;2,03;0,68;4,7;NA
"205";"Ocotea aciphylla";1;"PMSF";2016-05-23;58,78;0,174;0,91;46,8076;293,64;0,362;2,59;1,09;5,7;11,7947102
"206";"Byrsonima ligustrifolia";4;"Morro do Baú";2017-12-12;NA;0,232;0,91;41,9954;215,58;0,38;1,77;0,8;5,3;NA
"207";"Matayba intermedia";2;"FURB";2016-04-13;72,3;0,284;0,906;34,5646;372,64;0,412;2,3;1,16;5,1;NA
"208";"Chionanthus filiformis";4;"UA 803";2017-03-02;NA;0,178;0,902;44,146;314,83;0,378;1,13;0,82;5,1;NA
"209";"Chionanthus filiformis";5;"UA 803";2017-03-02;NA;0,184;0,884;40,768;364,73;0,368;0,97;0,67;4,7;NA
"210";"Meliosma sellowii";5;"PMSF";2016-09-21;52,78;0,126;0,876;62,1302;313,06;0,222;5,22;1,53;5,7;NA
"211";"Esenbeckia grandiflora";4;"PMSF";2016-07-13;60,68;0,22;0,874;36,9884;245,38;0,254;1,74;1;5,6;NA
"212";"Cryptocarya aschersoniana";2;"FURB";2016-05-02;55,04;0,184;0,8734;35,9566;438,11;0,342;1,1;0,68;5;NA
"213";"Cabralea canjerana";3;"FURB";2016-04-27;66,5;0,174;0,87;39,6104;290,86;0,292;3,28;0,98;5;14,67770243
"214";"Amaioua guianensis";2;"PMSF";2016-06-06;48,16;0,137;0,87;43,4096;130,22;0,228;2,12;0,77;6,1;NA
"215";"Coussarea contracta";1;"Morro do Baú";2016-12-12;NA;0,194;0,866;41,4828;232,21;0,196;1,09;0,57;5;NA
"216";"Tapirira guianensis";6;"Praia Vermelha";2017-02-09;NA;0,228;0,862;28,2128;185,21;0,324;3;1,22;5,7;NA
"217";"Cryptocarya mandioccana";5;"Massaranduba";2016-07-26;66,22;0,196;0,858;39,6296;378,95;0,354;2,82;1,34;5,1;2,875870877
"218";"Cryptocarya aschersoniana";3;"PMSF";2016-06-06;59,08;0,144;0,852;42,4106;427,07;0,294;1,61;0,61;5,4;12,59170289
"219";"Myrcia hebepetala";4;"Praia Vermelha";2017-02-09;NA;0,248;0,852;41,759;396,35;0,256;1,76;1,14;4,5;NA
"220";"Myrcia hebepetala";3;"Ipiranga";2016-08-08;53,32;0,124;0,85;39,057;NA;0,35;1,75;1,02;4,8;5,478887204
"221";"Ocotea odorifera";6;"Praia Vermelha";2017-02-09;NA;0,156;0,85;50,4756;280;0,298;1,26;0,86;5,1;NA
"222";"Nectandra membranacea";4;"FURB";2016-04-27;54,78;0,14;0,846;47,6778;180,7;0,336;1,67;0,82;5;NA
"223";"Hovenia dulcis";4;"Rodeio";2017-03-01;NA;0,12;0,828;47,78;83,43;0,294;1,71;0,88;5,6;NA
"224";"Ocotea glaziovii";1;"Faxinal do Bepe";2016-09-28;67,8;0,196;0,826;36,5248;361,22;0,388;2,61;1,43;4,5;22,56734371
"225";"Miconia cinnamomifolia";2;"Braço Paula Ramos";2016-06-09;66,68;0,278;0,824;31,9982;199,45;0,302;1,48;0,63;5,7;NA
"226";"Tapirira guianensis";2;"FURB";2016-05-02;NA;0,168;0,82;41,5856;197,46;0,328;4,7;1,77;5,1;NA
"227";"Gochnatia polymorpha";1;"Rua Bahia, Blumenau";2016-09-12;56,74;0,33;0,814;30,8318;300,61;0,414;2,98;1,41;6;NA
"228";"Inga marginata";2;"FURB";2017-05-25;NA;0,19;0,81;NA;326,96;0,36;1,56;0,86;5,3;NA
"229";"Endlicheria paniculata";3;"Massaranduba";2016-07-26;69,4;0,206;0,804;46,9126;373,77;0,316;3,23;1,15;5;3,210072997
